clustID,cluster_confidence,uniprotACCs
huMAP3_00365.1,1,Q04743 Q8IV63
huMAP3_00366.1,1,Q14135 Q99594
huMAP3_00367.1,1,O60551 P11908
huMAP3_00368.1,1,Q6KC79 Q9Y6X3
huMAP3_00369.1,1,Q5XKK7 Q9BQC3
huMAP3_00370.1,1,P04085 Q9NYR8
huMAP3_00371.1,1,O60524 Q6ZU52 Q9NQS1
huMAP3_00372.1,1,O75478 O75528 Q8IYH5 Q92830 Q92831 Q9H8E8 Q9NS73 Q9ULM3
huMAP3_00373.1,1,O43491 Q15287 Q9H4G0 Q9HCG8 Q9UKV3
huMAP3_00374.1,1,Q9NUJ3 Q9Y2R0
huMAP3_00375.1,1,Q8NET4 Q9HAW7 Q9HAW9
huMAP3_00376.1,1,Q8NBN3 Q9HA82
huMAP3_00377.1,1,A1KXE4 O43251 Q96EY1
huMAP3_00378.1,1,P29459 Q6ZMT1 Q9Y624
huMAP3_00379.1,1,P12644 Q9GZX9
huMAP3_00380.1,1,P51687 Q5MJ09
huMAP3_00381.1,1,F8VWT9 P42263 P48058
huMAP3_00382.1,1,Q0VG06 Q8WTQ7
huMAP3_00383.1,1,Q5T2D2 Q8IU85
huMAP3_00384.1,1,O76062 O95858 P35367 Q5U3C3 Q969K7 Q96GE9
huMAP3_00385.1,1,P08603 Q02985
huMAP3_00386.1,1,O15327 Q969Q4
huMAP3_00387.1,1,P50440 Q9UL52
huMAP3_00388.1,1,P11712 P33261
huMAP3_00389.1,1,O00570 P35711 P35712 P35716 Q9UN79
huMAP3_00390.1,1,O95863 P11161
huMAP3_00391.1,1,Q06828 Q5TID7
huMAP3_00392.1,1,Q7Z3B4 Q9BV73 Q9BVL2
huMAP3_00393.1,1,P82921 Q6PF06 Q9Y3D9
huMAP3_00394.1,1,Q8TDM0 Q9C0H9
huMAP3_00395.1,1,O60507 Q0GE19 Q2HXU8 Q504Y2 Q8N158 Q8NBR0 Q96H96 Q9Y644
huMAP3_00396.1,1,Q5UE93 Q7L266
huMAP3_00397.1,1,Q8IWX5 Q9Y2V2
huMAP3_00398.1,1,P26368 Q08170 Q8WXA9
huMAP3_00399.1,1,P22090 Q8TD47
huMAP3_00400.1,1,P53804 Q8ND24
huMAP3_00401.1,1,O15482 O94876
huMAP3_00402.1,1,A8MXD5 Q8TCJ0 Q9Y6U3
huMAP3_00403.1,1,O43812 Q96PT4
huMAP3_00404.1,1,Q8WZ71 Q92854 Q9NXG6 Q9P2J2 Q9UIR0
huMAP3_00405.1,1,Q7Z739 Q8IWR0
huMAP3_00406.1,1,P19971 Q9NWQ4
huMAP3_00407.1,1,P54257 Q2M329 Q7Z2Z1 Q9NY74 Q9UPR3
huMAP3_00408.1,1,A6NI28 P30793 Q8WXU2 Q9UHG0
huMAP3_00409.1,1,Q00613 Q03933 Q9ULV5
huMAP3_00410.1,1,Q9NPD5 Q9Y6L6
